date,description,amount,payee
2026-04-09,Mobile Recharge,599,Airtel
2026-04-08,Pizza delivery,499,Dominos
2026-04-08,Cab to office,250,Uber
2026-04-07,Weekly groceries,1850,BigBazaar
2026-04-07,Coffee,120,Starbucks
2026-04-06,Movie tickets,700,BookMyShow
2026-04-06,Dinner,950,Zomato
2026-04-05,Petrol,1500,HP Petrol
2026-04-05,Medicines,380,Apollo Pharmacy
2026-04-04,Electricity bill,2200,BSES
2026-04-03,Gym membership,1200,Cult.fit
2026-04-02,Online shopping,3499,Amazon
2026-04-01,Auto ride,80,Local Auto
